id,n_victimas,tipo_de_calle,comuna,longitud,latitud,participantes,victima,acusado,direccion_normalizada,rol,sexo,edad,fecha_hora,fecha_fallecimiento,categoria_edad,encrucijada
2016-0001,1,AVENIDA,8,-58.47533969,-34.68757022,MOTO-AUTO,MOTO,AUTO,"PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",CONDUCTOR,MASCULINO,19,2016-01-01 04:00:00,2016-01-01,18-29,True
2016-0002,1,GRAL PAZ,9,-58.50877521,-34.66977709,AUTO-PASAJEROS,AUTO,PASAJEROS,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",CONDUCTOR,MASCULINO,70,2016-01-02 01:15:00,2016-01-02,65+,True
2016-0003,1,AVENIDA,1,-58.39040293,-34.63189362,MOTO-AUTO,MOTO,AUTO,ENTRE RIOS AV. 2034,CONDUCTOR,MASCULINO,30,2016-01-03 07:00:00,2016-01-03,30-44,False
2016-0004,1,AVENIDA,8,-58.46503904,-34.68092974,MOTO-SD,MOTO,AUTO,"LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",CONDUCTOR,MASCULINO,18,2016-01-10 00:00:00,2016-01-10,18-29,True
2016-0005,1,AVENIDA,1,-58.38718297,-34.6224663,MOTO-PASAJEROS,MOTO,PASAJEROS,"SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",CONDUCTOR,MASCULINO,29,2016-01-21 05:20:00,2016-02-01,18-29,True
2016-0008,1,AVENIDA,8,-58.44451316,-34.68475866,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,27 DE FEBRERO AV. y ESCALADA AV.,CONDUCTOR,MASCULINO,30,2016-01-24 18:30:00,2016-01-24,30-44,True
2016-0009,1,CALLE,11,-58.50095869,-34.6082544,MOTO-AUTO,MOTO,AUTO,"NOGOYA y GONZALEZ, JOAQUIN V.",PASAJERO_ACOMPAÑANTE,MASCULINO,29,2016-01-24 19:10:00,2016-01-26,18-29,True
2016-0010,1,GRAL PAZ,9,-58.50877521,-34.66977709,MOTO-AUTO,MOTO,AUTO,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",CONDUCTOR,MASCULINO,18,2016-01-29 15:20:00,2016-01-29,18-29,True
2016-0012,1,AVENIDA,1,-58.38048577,-34.61303893,MOTO-CARGAS,MOTO,CARGAS,"BELGRANO AV. e IRIGOYEN, BERNARDO DE",CONDUCTOR,MASCULINO,22,2016-02-08 01:20:00,2016-02-08,18-29,True
2016-0013,1,AVENIDA,1,-58.39114932,-34.62477387,PEATON-AUTO,PEATON,AUTO,ENTRE RIOS AV. 1366,PEATON,MASCULINO,16,2016-02-10 11:30:00,2016-02-10,0-17,False
2016-0015,1,AVENIDA,15,-58.4376002,-34.59912758,PEATON-AUTO,PEATON,AUTO,"SCALABRINI ORTIZ, RAUL AV. y VERA",PEATON,FEMENINO,16,2016-02-14 05:14:00,2016-02-14,0-17,True
2016-0016,1,AVENIDA,4,-58.36882665,-34.64291993,MOTO-AUTO,MOTO,AUTO,"REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",PASAJERO_ACOMPAÑANTE,FEMENINO,19,2016-02-14 22:00:00,2016-02-14,18-29,True
2016-0017,1,AVENIDA,8,-58.44989671,-34.65970435,PEATON-MOTO,PEATON,MOTO,"ACOSTA, MARIANO y JANER, ANA MARIA",PEATON,MASCULINO,59,2016-02-15 16:54:00,2016-02-16,45-64,True
2016-0019,1,CALLE,9,-58.50990884,-34.65468721,PEATON-PASAJEROS,PEATON,PASAJEROS,"DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",PEATON,FEMENINO,65,2016-02-17 09:30:00,2016-02-17,65+,True
2016-0020,1,CALLE,1,-58.37952223,-34.60653282,PEATON-AUTO,PEATON,AUTO,SUIPACHA 156,PEATON,MASCULINO,59,2016-02-17 16:00:00,2016-03-02,45-64,False
2016-0021,1,AVENIDA,7,-58.45157703,-34.63063795,AUTO-AUTO,AUTO,AUTO,DIRECTORIO AV. y CURAPALIGUE,CONDUCTOR,MASCULINO,34,2016-02-17 23:35:00,2016-02-17,30-44,True
2016-0022,1,AVENIDA,1,-58.38144696,-34.61079875,MOTO-AUTO,MOTO,AUTO,"9 DE JULIO AV. y ALSINA, ADOLFO",PASAJERO_ACOMPAÑANTE,MASCULINO,41,2016-02-21 06:00:00,2016-02-21,30-44,True
2016-0025,1,GRAL PAZ,8,-58.46244952,-34.70524971,AUTO-AUTO,AUTO,AUTO,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",PASAJERO_ACOMPAÑANTE,MASCULINO,34,2016-02-28 04:50:00,2016-02-28,30-44,True
2016-0026,1,CALLE,12,-58.49216191,-34.54738649,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,HOLMBERG y VEDIA,CONDUCTOR,MASCULINO,30,2016-02-28 07:30:00,2016-03-04,30-44,True
2016-0027,1,AVENIDA,7,-58.44497874,-34.63852623,AUTO-AUTO,AUTO,AUTO,"CURAPALIGUE AV. y DIAZ, AVELINO",PASAJERO_ACOMPAÑANTE,MASCULINO,34,2016-02-28 09:35:00,2016-02-28,30-44,True
2016-0028,1,AVENIDA,1,-58.38199706,-34.60028648,PEATON-CARGAS,PEATON,CARGAS,VIAMONTE y 9 DE JULIO AV.,PEATON,MASCULINO,50,2016-03-02 10:00:00,2016-03-02,45-64,True
2016-0029,1,AVENIDA,12,-58.47378664,-34.54153077,PEATON-PASAJEROS,PEATON,PASAJEROS,CABILDO AV. y DEHEZA,PEATON,MASCULINO,38,2016-03-04 17:30:00,2016-03-04,30-44,True
